Delivery Date,Depot Name,Route Name,Weight,Sales_Amount
12-Jan-19,Depot 1,Route 5,3340.58,275944
12-Jan-19,Depot 1,Route 4,3546.03,332685
12-Jan-19,Depot 1,Route 3,3755.79,355496
12-Jan-19,Depot 1,Route 2,2124.5,175034
14-Jan-19,Depot 1,Route 8,2731.09,321322
14-Jan-19,Depot 1,Route 7,1449.09,110772
14-Jan-19,Depot 1,Route 6,2277.44,118347
14-Jan-19,Depot 1,Route 5,2457.73,258212
14-Jan-19,Depot 1,Route 4,4052.2,396360
14-Jan-19,Depot 1,Route 3,3069.41,268643
14-Jan-19,Depot 1,Route 2,2497.59,197000
14-Jan-19,Depot 1,Route 1,3728.09,366575
15-Jan-19,Depot 1,Route 1,3451.78,360725
15-Jan-19,Depot 1,Route 8,5391,548928
15-Jan-19,Depot 1,Route 7,1427.73,129693
15-Jan-19,Depot 1,Route 6,1492.91,108903
15-Jan-19,Depot 1,Route 5,2305.67,224641
15-Jan-19,Depot 1,Route 4,2901.97,291077
15-Jan-19,Depot 1,Route 3,2235.31,203335
15-Jan-19,Depot 1,Route 2,1483,115563
11-Jan-19,Depot 1,Route 2,3384.45,287990
11-Jan-19,Depot 1,Route 3,2585.19,223911
11-Jan-19,Depot 1,Route 1,3457.91,305342
11-Jan-19,Depot 1,Route 8,808.61,75357
11-Jan-19,Depot 1,Route 7,1297.17,99293
11-Jan-19,Depot 1,Route 6,2091.14,118667
11-Jan-19,Depot 1,Route 5,2390.59,234520
11-Jan-19,Depot 1,Route 4,3201.33,341061
17-Jan-19,Depot 1,Route 2,1976.86,150301
17-Jan-19,Depot 1,Route 3,2434.83,222084
17-Jan-19,Depot 1,Route 4,2914.36,272529
17-Jan-19,Depot 1,Route 5,2339.8,214317
17-Jan-19,Depot 1,Route 6,1669.49,93136
17-Jan-19,Depot 1,Route 7,1090.66,90716
17-Jan-19,Depot 1,Route 8,2147.01,213154
17-Jan-19,Depot 1,Route 1,3102.6,312007
18-Jan-19,Depot 1,Route 6,2271.03,136791
18-Jan-19,Depot 1,Route 5,1802.16,174228
18-Jan-19,Depot 1,Route 4,2660.23,298323
18-Jan-19,Depot 1,Route 3,1502.06,126365
18-Jan-19,Depot 1,Route 2,2366.91,186669
18-Jan-19,Depot 1,Route 8,2097.71,200387
18-Jan-19,Depot 1,Route 1,2563.8,237024
18-Jan-19,Depot 1,Route 7,1431.39,113452
19-Jan-19,Depot 1,Route 2,1786.02,135282
19-Jan-19,Depot 1,Route 3,3548.58,318560
19-Jan-19,Depot 1,Route 4,3645.07,349991
19-Jan-19,Depot 1,Route 5,3195.1,276611
19-Jan-19,Depot 1,Route 6,2508.44,128039
19-Jan-19,Depot 1,Route 7,1542.09,122165
19-Jan-19,Depot 1,Route 8,2327.83,235947
19-Jan-19,Depot 1,Route 1,4243.71,360693
21-Jan-19,Depot 1,Route 7,1563.96,132571
21-Jan-19,Depot 1,Route 6,1948.96,109434
21-Jan-19,Depot 1,Route 1,4409.82,452649
21-Jan-19,Depot 1,Route 8,3445.04,417379
21-Jan-19,Depot 1,Route 2,1896.87,164696
21-Jan-19,Depot 1,Route 3,3927.24,386742
21-Jan-19,Depot 1,Route 4,3711.46,430281
21-Jan-19,Depot 1,Route 5,2533.04,311931
22-Jan-19,Depot 1,Route 2,2830.35,243634
22-Jan-19,Depot 1,Route 3,2742.74,236033
22-Jan-19,Depot 1,Route 4,2596.91,294805
22-Jan-19,Depot 1,Route 5,2335.44,241331
22-Jan-19,Depot 1,Route 6,1969.81,118380
22-Jan-19,Depot 1,Route 7,1477.94,138135
22-Jan-19,Depot 1,Route 8,2977.74,353145
22-Jan-19,Depot 1,Route 1,4072.41,351155
23-Jan-19,Depot 1,Route 2,3144.89,299855
23-Jan-19,Depot 1,Route 3,1959.26,179403
23-Jan-19,Depot 1,Route 4,2721.4,282510
23-Jan-19,Depot 1,Route 6,2141.19,134477
23-Jan-19,Depot 1,Route 7,1295.64,109923
23-Jan-19,Depot 1,Route 1,3298.05,309690
23-Jan-19,Depot 1,Route 8,2548.4,273383
23-Jan-19,Depot 1,Route 5,2666.19,253106
24-Jan-19,Depot 1,Route 1,2704.52,257541
24-Jan-19,Depot 1,Route 6,1310.25,68444
24-Jan-19,Depot 1,Route 8,2617.46,312396
24-Jan-19,Depot 1,Route 7,1191.52,86456
24-Jan-19,Depot 1,Route 2,1139.15,80311
24-Jan-19,Depot 1,Route 3,2091.27,175904
24-Jan-19,Depot 1,Route 4,3304.08,324824
24-Jan-19,Depot 1,Route 5,1815.55,182462
25-Jan-19,Depot 1,Route 2,1823.51,148778
25-Jan-19,Depot 1,Route 3,1924.41,166615
25-Jan-19,Depot 1,Route 4,2638.79,286148
25-Jan-19,Depot 1,Route 5,2383.01,241543
25-Jan-19,Depot 1,Route 6,1906.68,121450
25-Jan-19,Depot 1,Route 8,2278.1,244895
25-Jan-19,Depot 1,Route 7,1454.01,131749
25-Jan-19,Depot 1,Route 1,2637.77,241382
21-Jan-19,Depot 1,Route 1,4877.18,442244
21-Jan-19,Depot 1,Route 8,2082.99,198778
21-Jan-19,Depot 1,Route 7,1588.4,127065
21-Jan-19,Depot 1,Route 6,2693.44,193551
21-Jan-19,Depot 1,Route 5,2362.95,231486
21-Jan-19,Depot 1,Route 4,4135.03,456428
21-Jan-19,Depot 1,Route 3,4099.51,379669
21-Jan-19,Depot 1,Route 2,2667.19,238121
28-Jan-19,Depot 1,Route 3,2565.51,243887
28-Jan-19,Depot 1,Route 4,4192.51,429356
28-Jan-19,Depot 1,Route 5,3192.49,335260
28-Jan-19,Depot 1,Route 6,2734.01,181674
28-Jan-19,Depot 1,Route 7,2481.74,213669
28-Jan-19,Depot 1,Route 8,3005.57,344688
28-Jan-19,Depot 1,Route 1,3010.18,298476
28-Jan-19,Depot 1,Route 2,2023.51,157528
29-Jan-19,Depot 1,Route 8,2001.22,224793
29-Jan-19,Depot 1,Route 2,1751.63,135910
29-Jan-19,Depot 1,Route 3,2132.99,205819
29-Jan-19,Depot 1,Route 4,3735.02,386180
29-Jan-19,Depot 1,Route 5,2392.79,253968
29-Jan-19,Depot 1,Route 7,1780.68,138531
29-Jan-19,Depot 1,Route 6,2694.53,148892
29-Jan-19,Depot 1,Route 1,3433.79,307070
30-Jan-19,Depot 1,Route 2,2688.57,210435
30-Jan-19,Depot 1,Route 3,2089.29,177817
30-Jan-19,Depot 1,Route 4,3895.33,372908
30-Jan-19,Depot 1,Route 5,3013.67,286829
30-Jan-19,Depot 1,Route 7,2249.69,167371
30-Jan-19,Depot 1,Route 1,2962.56,279619
30-Jan-19,Depot 1,Route 8,2913.55,305109
30-Jan-19,Depot 1,Route 6,1538.01,98842
1-Jan-19,Depot 2,Route 9,1731.32,160115
1-Jan-19,Depot 2,Route 10,2387.53,164813
1-Jan-19,Depot 2,Route 11,1448.87,141759
1-Jan-19,Depot 2,Route 12,3721,331987
1-Jan-19,Depot 2,Route 13,1577.06,133280
1-Jan-19,Depot 2,Route 14,1467.32,135639
1-Jan-19,Depot 2,Route 15,1913.5,142897
1-Jan-19,Depot 2,Route 16,3970.63,338855
1-Jan-19,Depot 2,Route 17,2363.7,229505
1-Jan-19,Depot 2,Route 18,1821.67,163009
2-Jan-19,Depot 2,Route 11,2242.84,221535
2-Jan-19,Depot 2,Route 18,1718.13,139525
2-Jan-19,Depot 2,Route 17,1672.83,176525
2-Jan-19,Depot 2,Route 16,2606.21,268694
2-Jan-19,Depot 2,Route 15,1771.98,146769
2-Jan-19,Depot 2,Route 14,1008.67,107180
2-Jan-19,Depot 2,Route 13,1120.84,109955
2-Jan-19,Depot 2,Route 12,2893.59,271671
2-Jan-19,Depot 2,Route 10,2002.58,124370
2-Jan-19,Depot 2,Route 9,1566.64,148645
3-Jan-19,Depot 2,Route 18,2086.74,183671
3-Jan-19,Depot 2,Route 17,2561.01,246433
3-Jan-19,Depot 2,Route 16,2178.35,179408
3-Jan-19,Depot 2,Route 15,1327.46,98307
3-Jan-19,Depot 2,Route 14,1070.06,106167
3-Jan-19,Depot 2,Route 13,1029.01,97000
3-Jan-19,Depot 2,Route 12,2470.84,245319
3-Jan-19,Depot 2,Route 11,1196.33,114444
3-Jan-19,Depot 2,Route 10,2072.11,147700
3-Jan-19,Depot 2,Route 9,1712.74,156098
4-Jan-19,Depot 2,Route 9,1178.48,110843
4-Jan-19,Depot 2,Route 10,1799.84,120265
4-Jan-19,Depot 2,Route 18,1359.8,102570
4-Jan-19,Depot 2,Route 11,1410.46,118669
4-Jan-19,Depot 2,Route 12,2725.44,256340
4-Jan-19,Depot 2,Route 13,1069.31,111570
4-Jan-19,Depot 2,Route 14,1531.39,155965
4-Jan-19,Depot 2,Route 15,1404.11,124880
4-Jan-19,Depot 2,Route 16,1945.9,171871
4-Jan-19,Depot 2,Route 17,2231.18,190755
5-Jan-19,Depot 2,Route 18,2198,186878
5-Jan-19,Depot 2,Route 17,2229.29,188770
5-Jan-19,Depot 2,Route 16,2734.77,251316
5-Jan-19,Depot 2,Route 15,2124.06,154020
5-Jan-19,Depot 2,Route 14,1592.91,140020
5-Jan-19,Depot 2,Route 13,1313.7,112610
5-Jan-19,Depot 2,Route 12,3719.15,343595
5-Jan-19,Depot 2,Route 11,1250.65,119781
5-Jan-19,Depot 2,Route 10,2470.45,164644
5-Jan-19,Depot 2,Route 9,1759.52,140318
7-Jan-19,Depot 2,Route 9,1886.27,153271
7-Jan-19,Depot 2,Route 10,2644.85,188580
7-Jan-19,Depot 2,Route 11,1636.22,139763
7-Jan-19,Depot 2,Route 12,4669.81,411701
7-Jan-19,Depot 2,Route 13,1637.61,148396
7-Jan-19,Depot 2,Route 14,1155.68,113090
7-Jan-19,Depot 2,Route 15,1736.26,137319
7-Jan-19,Depot 2,Route 16,1574.34,149885
7-Jan-19,Depot 2,Route 17,3065.75,274805
7-Jan-19,Depot 2,Route 18,2378.76,211847
8-Jan-19,Depot 2,Route 18,2112.04,180030
8-Jan-19,Depot 2,Route 17,2087.09,190239
8-Jan-19,Depot 2,Route 16,2007.54,159998
8-Jan-19,Depot 2,Route 15,1340.82,114211
8-Jan-19,Depot 2,Route 14,1593.08,155150
8-Jan-19,Depot 2,Route 13,1163.51,105087
8-Jan-19,Depot 2,Route 12,2737.91,245817
8-Jan-19,Depot 2,Route 10,2120.46,174240
8-Jan-19,Depot 2,Route 9,1850.2,150903
8-Jan-19,Depot 2,Route 11,1816.41,163002
9-Jan-19,Depot 2,Route 18,1617.34,143012
9-Jan-19,Depot 2,Route 17,2426.86,215330
9-Jan-19,Depot 2,Route 16,1803.36,161458
9-Jan-19,Depot 2,Route 15,1317.13,110079
9-Jan-19,Depot 2,Route 14,1273.57,116657
9-Jan-19,Depot 2,Route 13,779.72,73430
9-Jan-19,Depot 2,Route 12,2552.36,245015
9-Jan-19,Depot 2,Route 11,1421.25,122917
9-Jan-19,Depot 2,Route 10,1971.02,137905
9-Jan-19,Depot 2,Route 9,1812.82,152081
10-Jan-19,Depot 2,Route 18,1725.53,150858
10-Jan-19,Depot 2,Route 17,2507.76,234045
10-Jan-19,Depot 2,Route 16,1784.01,147138
10-Jan-19,Depot 2,Route 15,1531.27,126871
10-Jan-19,Depot 2,Route 14,1166.66,110070
10-Jan-19,Depot 2,Route 13,1705.84,156795
10-Jan-19,Depot 2,Route 12,2422.68,233180
10-Jan-19,Depot 2,Route 11,1577.52,142719
10-Jan-19,Depot 2,Route 10,2191.01,166271
10-Jan-19,Depot 2,Route 9,1767.74,162907
11-Jan-19,Depot 2,Route 16,2241.37,224310
11-Jan-19,Depot 2,Route 15,2018.03,149416
11-Jan-19,Depot 2,Route 17,1912.19,173559
11-Jan-19,Depot 2,Route 18,1518.54,118114
11-Jan-19,Depot 2,Route 9,1859.63,150649
11-Jan-19,Depot 2,Route 14,2457.76,253430
11-Jan-19,Depot 2,Route 10,1672.81,101157
11-Jan-19,Depot 2,Route 13,792.78,75947
11-Jan-19,Depot 2,Route 12,2283.28,204645
11-Jan-19,Depot 2,Route 11,1170.99,111618
12-Jan-19,Depot 2,Route 16,2093.29,166091
12-Jan-19,Depot 2,Route 9,2192.04,184143
12-Jan-19,Depot 2,Route 10,1689.12,116322
12-Jan-19,Depot 2,Route 11,2100.15,188232
12-Jan-19,Depot 2,Route 12,3403.66,326831
12-Jan-19,Depot 2,Route 13,2183.99,249315
12-Jan-19,Depot 2,Route 14,1572.8,156324
12-Jan-19,Depot 2,Route 15,1556.21,151069
12-Jan-19,Depot 2,Route 17,3175.14,267736
12-Jan-19,Depot 2,Route 18,2135.08,194974
14-Jan-19,Depot 2,Route 10,1369.44,93426
14-Jan-19,Depot 2,Route 18,1493.89,121800
14-Jan-19,Depot 2,Route 17,2179.51,195880
14-Jan-19,Depot 2,Route 16,1924.57,150033
14-Jan-19,Depot 2,Route 15,1634.83,126964
14-Jan-19,Depot 2,Route 9,2292.27,171786
14-Jan-19,Depot 2,Route 11,2149.99,207425
14-Jan-19,Depot 2,Route 12,3359.27,378970
14-Jan-19,Depot 2,Route 13,1276.52,123495
14-Jan-19,Depot 2,Route 14,1331.09,133628
15-Jan-19,Depot 2,Route 14,926.66,95830
15-Jan-19,Depot 2,Route 9,2547.61,209667
15-Jan-19,Depot 2,Route 10,1748.08,110355
15-Jan-19,Depot 2,Route 11,1167.29,104451
15-Jan-19,Depot 2,Route 12,2793.46,260415
15-Jan-19,Depot 2,Route 17,2295.7,224076
15-Jan-19,Depot 2,Route 16,2087.2,165280
15-Jan-19,Depot 2,Route 15,1319.76,104771
15-Jan-19,Depot 2,Route 18,1702.47,136118
15-Jan-19,Depot 2,Route 13,1018.33,90831
11-Jan-19,Depot 2,Route 18,2329.27,186624
11-Jan-19,Depot 2,Route 16,1484.94,123358
11-Jan-19,Depot 2,Route 15,1347.49,90860
11-Jan-19,Depot 2,Route 14,1526.94,178112
11-Jan-19,Depot 2,Route 13,1632.44,132119
11-Jan-19,Depot 2,Route 12,2938.2,274770
11-Jan-19,Depot 2,Route 11,1363.47,112525
11-Jan-19,Depot 2,Route 10,1763.06,145157
11-Jan-19,Depot 2,Route 9,1302.07,102675
11-Jan-19,Depot 2,Route 17,1865.29,188697
17-Jan-19,Depot 2,Route 11,1621.91,151095
17-Jan-19,Depot 2,Route 12,2573.37,228340
17-Jan-19,Depot 2,Route 13,1130.7,99455
17-Jan-19,Depot 2,Route 10,1681.19,105242
17-Jan-19,Depot 2,Route 9,1567.86,107978
17-Jan-19,Depot 2,Route 16,2087.45,142789
17-Jan-19,Depot 2,Route 14,964.3,97905
17-Jan-19,Depot 2,Route 15,1587.96,116850
17-Jan-19,Depot 2,Route 17,2153.17,202035
17-Jan-19,Depot 2,Route 18,1731.96,140750
18-Jan-19,Depot 2,Route 18,1669.38,145180
18-Jan-19,Depot 2,Route 17,1695.42,173117
18-Jan-19,Depot 2,Route 16,1924.59,141633
18-Jan-19,Depot 2,Route 15,1677.43,130171
18-Jan-19,Depot 2,Route 13,1165.52,103603
18-Jan-19,Depot 2,Route 12,2092.66,187764
18-Jan-19,Depot 2,Route 11,1067.79,89766
18-Jan-19,Depot 2,Route 10,1614.42,114830
18-Jan-19,Depot 2,Route 9,1641.15,135065
18-Jan-19,Depot 2,Route 14,1175.46,129528
19-Jan-19,Depot 2,Route 9,2387.87,182979
19-Jan-19,Depot 2,Route 15,1349.08,109646
19-Jan-19,Depot 2,Route 16,2572.18,188480
19-Jan-19,Depot 2,Route 17,2167.02,206745
19-Jan-19,Depot 2,Route 18,2078.34,166722
19-Jan-19,Depot 2,Route 14,909.24,98451
19-Jan-19,Depot 2,Route 13,1288.23,133452
19-Jan-19,Depot 2,Route 12,2649.82,217116
19-Jan-19,Depot 2,Route 11,1541.09,136900
19-Jan-19,Depot 2,Route 10,2388.23,153315
21-Jan-19,Depot 2,Route 9,2235.9,184781
21-Jan-19,Depot 2,Route 10,2029.95,148532
21-Jan-19,Depot 2,Route 11,1628.98,179928
21-Jan-19,Depot 2,Route 18,2227.02,199436
21-Jan-19,Depot 2,Route 12,3880.39,407967
21-Jan-19,Depot 2,Route 13,868.72,101630
21-Jan-19,Depot 2,Route 14,1762.28,187728
21-Jan-19,Depot 2,Route 15,1806.81,148831
21-Jan-19,Depot 2,Route 17,2707.1,251332
21-Jan-19,Depot 2,Route 16,1962.41,173912
22-Jan-19,Depot 2,Route 9,1587.55,134869
22-Jan-19,Depot 2,Route 15,1429.31,123933
22-Jan-19,Depot 2,Route 14,1336.27,150095
22-Jan-19,Depot 2,Route 13,1536.83,150235
22-Jan-19,Depot 2,Route 12,2488.74,232170
22-Jan-19,Depot 2,Route 11,1522.53,156890
22-Jan-19,Depot 2,Route 10,1821.01,130243
22-Jan-19,Depot 2,Route 17,2438.89,217048
22-Jan-19,Depot 2,Route 18,2300.59,178525
22-Jan-19,Depot 2,Route 16,2173.21,184815
23-Jan-19,Depot 2,Route 18,1637.68,152114
23-Jan-19,Depot 2,Route 17,1590.27,174835
23-Jan-19,Depot 2,Route 16,2638.78,228221
23-Jan-19,Depot 2,Route 15,1331.66,105116
23-Jan-19,Depot 2,Route 14,978.32,115029
23-Jan-19,Depot 2,Route 13,992.12,93169
23-Jan-19,Depot 2,Route 12,3289.66,321884
23-Jan-19,Depot 2,Route 11,1159.69,119607
23-Jan-19,Depot 2,Route 10,1758.92,106962
23-Jan-19,Depot 2,Route 9,2748.17,222529
24-Jan-19,Depot 2,Route 14,1080.93,117421
24-Jan-19,Depot 2,Route 15,1515.69,125902
24-Jan-19,Depot 2,Route 16,1614.48,136907
24-Jan-19,Depot 2,Route 17,2013.27,207954
24-Jan-19,Depot 2,Route 18,1337.21,116250
24-Jan-19,Depot 2,Route 13,1092.43,102700
24-Jan-19,Depot 2,Route 12,1955.66,199615
24-Jan-19,Depot 2,Route 11,912.79,103982
24-Jan-19,Depot 2,Route 10,1988.06,122685
24-Jan-19,Depot 2,Route 9,4755.16,435980
25-Jan-19,Depot 2,Route 18,2059.9,184050
25-Jan-19,Depot 2,Route 17,2266.74,210194
25-Jan-19,Depot 2,Route 9,1469.7,109123
25-Jan-19,Depot 2,Route 10,1779.08,121501
25-Jan-19,Depot 2,Route 11,1347.84,135930
25-Jan-19,Depot 2,Route 12,3233.96,311453
25-Jan-19,Depot 2,Route 13,1073.23,113530
25-Jan-19,Depot 2,Route 14,1197.21,127175
25-Jan-19,Depot 2,Route 15,1560.52,141481
25-Jan-19,Depot 2,Route 16,1997.78,153590
21-Jan-19,Depot 2,Route 16,2069.72,154173
21-Jan-19,Depot 2,Route 17,2327.84,221773
21-Jan-19,Depot 2,Route 18,1943.6,163745
21-Jan-19,Depot 2,Route 15,1834.32,143856
21-Jan-19,Depot 2,Route 9,1644.46,151638
21-Jan-19,Depot 2,Route 10,2460.42,161503
21-Jan-19,Depot 2,Route 11,957.85,101945
21-Jan-19,Depot 2,Route 12,3875.56,349938
21-Jan-19,Depot 2,Route 13,991.57,104715
21-Jan-19,Depot 2,Route 14,1223.78,131644
28-Jan-19,Depot 2,Route 13,1043.58,100955
28-Jan-19,Depot 2,Route 14,1847.65,183616
28-Jan-19,Depot 2,Route 15,1451.38,133613
28-Jan-19,Depot 2,Route 16,2187.96,180399
28-Jan-19,Depot 2,Route 17,2679.89,275040
28-Jan-19,Depot 2,Route 18,1672.69,156730
28-Jan-19,Depot 2,Route 9,2361.68,271591
28-Jan-19,Depot 2,Route 10,2468.58,186581
28-Jan-19,Depot 2,Route 11,1650.47,164657
28-Jan-19,Depot 2,Route 12,3054.9,287554
29-Jan-19,Depot 2,Route 17,2183.52,212797
29-Jan-19,Depot 2,Route 18,2094.54,176019
29-Jan-19,Depot 2,Route 16,2337.69,169439
29-Jan-19,Depot 2,Route 15,1749.35,158081
29-Jan-19,Depot 2,Route 14,1713.56,179870
29-Jan-19,Depot 2,Route 13,1253.41,116762
29-Jan-19,Depot 2,Route 12,2498.3,229846
29-Jan-19,Depot 2,Route 11,1118.48,108671
29-Jan-19,Depot 2,Route 10,1756.07,133106
29-Jan-19,Depot 2,Route 9,3119.97,185015
30-Jan-19,Depot 2,Route 16,2688.79,243104
30-Jan-19,Depot 2,Route 17,1840.49,165020
30-Jan-19,Depot 2,Route 18,2246.32,192277
30-Jan-19,Depot 2,Route 15,1916.22,182040
30-Jan-19,Depot 2,Route 14,1401.06,145134
30-Jan-19,Depot 2,Route 13,1456.93,155700
30-Jan-19,Depot 2,Route 12,4313.64,396400
30-Jan-19,Depot 2,Route 11,1528.17,146806
30-Jan-19,Depot 2,Route 9,2025.17,173710
30-Jan-19,Depot 2,Route 10,1705.42,107940
1-Jan-19,Depot 3,Route 19,1712.82,122485
1-Jan-19,Depot 3,Route 20,1578.93,116429
1-Jan-19,Depot 3,Route 21,1419.08,112294
1-Jan-19,Depot 3,Route 22,1127.15,69101
1-Jan-19,Depot 3,Route 23,1707.89,119010
1-Jan-19,Depot 3,Route 24,1923.87,142440
1-Jan-19,Depot 3,Route 25,1261.13,93915
1-Jan-19,Depot 3,Route 26,2209.32,181495
1-Jan-19,Depot 3,Route 27,1120.4,85477
1-Jan-19,Depot 3,Route 28,1779.21,126290
1-Jan-19,Depot 3,Route 29,3213.89,225894
2-Jan-19,Depot 3,Route 19,1731.96,107610
2-Jan-19,Depot 3,Route 20,1463.21,97108
2-Jan-19,Depot 3,Route 25,999.21,70595
2-Jan-19,Depot 3,Route 29,3499.59,247456
2-Jan-19,Depot 3,Route 28,2004.61,133345
2-Jan-19,Depot 3,Route 27,1173.52,95690
2-Jan-19,Depot 3,Route 26,1177.06,92175
2-Jan-19,Depot 3,Route 24,1785.43,111075
2-Jan-19,Depot 3,Route 23,1655.94,103300
2-Jan-19,Depot 3,Route 22,1191.04,82906
2-Jan-19,Depot 3,Route 21,1582.38,120268
3-Jan-19,Depot 3,Route 23,1695.87,98049
3-Jan-19,Depot 3,Route 30,1.64,390
3-Jan-19,Depot 3,Route 22,1734.73,129910
3-Jan-19,Depot 3,Route 21,1432.41,102371
3-Jan-19,Depot 3,Route 24,1761.21,140205
3-Jan-19,Depot 3,Route 26,1688.07,128780
3-Jan-19,Depot 3,Route 27,848.61,70475
3-Jan-19,Depot 3,Route 28,2837.63,213190
3-Jan-19,Depot 3,Route 29,3209.21,237029
3-Jan-19,Depot 3,Route 25,1313.17,90365
3-Jan-19,Depot 3,Route 20,873.19,79168
3-Jan-19,Depot 3,Route 19,1244.37,102805
4-Jan-19,Depot 3,Route 19,1856.38,122420
4-Jan-19,Depot 3,Route 20,1223.19,91690
4-Jan-19,Depot 3,Route 25,1061.52,75570
4-Jan-19,Depot 3,Route 29,4660.45,334483
4-Jan-19,Depot 3,Route 28,1858.65,132318
4-Jan-19,Depot 3,Route 27,1169.55,96510
4-Jan-19,Depot 3,Route 26,1448.03,108690
4-Jan-19,Depot 3,Route 24,1365.75,98060
4-Jan-19,Depot 3,Route 23,1924.21,137546
4-Jan-19,Depot 3,Route 21,1262.08,92165
4-Jan-19,Depot 3,Route 31,1.18,210
4-Jan-19,Depot 3,Route 22,1768.8,109674
5-Jan-19,Depot 3,Route 19,1936.35,127245
5-Jan-19,Depot 3,Route 20,1449.83,93900
5-Jan-19,Depot 3,Route 25,1459.9,100930
